id,effectiveTime,active,moduleId,conceptId,languageCode,typeId,term,caseSignificanceId,last_updated
556017,20170731,1,900000000000207008,127268007,en,900000000000013009,Neoplasm of iliac lymph nodes,900000000000448009,2025-11-24 11:08:13
557014,20020131,1,900000000000207008,127269004,en,900000000000013009,Neoplasm of obturator lymph nodes,900000000000020002,2025-11-24 11:08:13
557014,20170731,1,900000000000207008,127269004,en,900000000000013009,Neoplasm of obturator lymph nodes,900000000000448009,2025-11-24 11:08:13
558016,20020131,1,900000000000207008,127270003,en,900000000000013009,Neoplasm of hypogastric lymph nodes,900000000000020002,2025-11-24 11:08:13
558016,20170731,1,900000000000207008,127270003,en,900000000000013009,Neoplasm of hypogastric lymph nodes,900000000000448009,2025-11-24 11:08:13
559012,20020131,1,900000000000207008,127271004,en,900000000000013009,Neoplasm of parametrial lymph nodes,900000000000020002,2025-11-24 11:08:13
559012,20170731,1,900000000000207008,127271004,en,900000000000013009,Neoplasm of parametrial lymph nodes,900000000000448009,2025-11-24 11:08:13
560019,20020131,1,900000000000207008,127272006,en,900000000000013009,Neoplasm of paravaginal lymph nodes,900000000000020002,2025-11-24 11:08:13
560019,20170731,1,900000000000207008,127272006,en,900000000000013009,Neoplasm of paravaginal lymph nodes,900000000000448009,2025-11-24 11:08:13
561015,20020131,1,900000000000207008,127273001,en,900000000000013009,Neoplasm of pararectal lymph nodes,900000000000020002,2025-11-24 11:08:13
561015,20170731,1,900000000000207008,127273001,en,900000000000013009,Neoplasm of pararectal lymph nodes,900000000000448009,2025-11-24 11:08:13
562010,20020131,1,900000000000207008,127274007,en,900000000000013009,Neoplasm of lymph nodes of multiple sites,900000000000020002,2025-11-24 11:08:13
562010,20170731,1,900000000000207008,127274007,en,900000000000013009,Neoplasm of lymph nodes of multiple sites,900000000000448009,2025-11-24 11:08:13
563017,20020131,1,900000000000207008,127275008,en,900000000000013009,Injury of respiratory system,900000000000020002,2025-11-24 11:08:13
563017,20170731,1,900000000000207008,127275008,en,900000000000013009,Injury of respiratory system,900000000000448009,2025-11-24 11:08:13
564011,20020131,1,900000000000207008,127276009,en,900000000000013009,Injury of head with rhinorrhagia,900000000000020002,2025-11-24 11:08:13
564011,20170731,1,900000000000207008,127276009,en,900000000000013009,Injury of head with rhinorrhagia,900000000000448009,2025-11-24 11:08:13
565012,20020131,1,900000000000207008,127277000,en,900000000000013009,Injury of female genital system,900000000000020002,2025-11-24 11:08:13
565012,20170731,1,900000000000207008,127277000,en,900000000000013009,Injury of female genital system,900000000000448009,2025-11-24 11:08:13
566013,20020131,1,900000000000207008,127278005,en,900000000000013009,Injury of upper extremity,900000000000020002,2025-11-24 11:08:13
566013,20170731,1,900000000000207008,127278005,en,900000000000013009,Injury of upper extremity,900000000000448009,2025-11-24 11:08:13
567016,20020131,1,900000000000207008,127279002,en,900000000000013009,Injury of lower extremity,900000000000020002,2025-11-24 11:08:13
567016,20170731,1,900000000000207008,127279002,en,900000000000013009,Injury of lower extremity,900000000000448009,2025-11-24 11:08:13
568014,20020131,1,900000000000207008,127280004,en,900000000000013009,Fracture of basilar portion of occipital bone,900000000000020002,2025-11-24 11:08:13
568014,20170731,1,900000000000207008,127280004,en,900000000000013009,Fracture of basilar portion of occipital bone,900000000000448009,2025-11-24 11:08:13
569018,20020131,1,900000000000207008,127281000,en,900000000000013009,Fracture of occipital condyle,900000000000020002,2025-11-24 11:08:13
569018,20170731,1,900000000000207008,127281000,en,900000000000013009,Fracture of occipital condyle,900000000000448009,2025-11-24 11:08:13
570017,20020131,1,900000000000207008,127282007,en,900000000000013009,Fracture of clivus of occipital bone,900000000000020002,2025-11-24 11:08:13
